Date,Price,Date2,Open,High,Low,Price2,Vol.,Change %,Column1,valitability in ($),Daily valitability in %,,,,,,,,,,,,,,,,,
3-May-19,"2,945.64",3-May-19,"2,929.21","2,947.85","2,929.21","2,945.64",-,0.96%,1%,18.64,0.64%,,,,,,,,,,,,,,,,,
2-May-19,"2,917.52",2-May-19,"2,922.16","2,931.68","2,900.50","2,917.52",-,-0.21%,0%,31.18,1.07%,,,,,,,,,,,,,,,,,
1-May-19,"2,923.73",1-May-19,"2,952.33","2,954.13","2,923.36","2,923.73",-,-0.75%,1%,30.77,1.04%,,,,,,,,,,,,,,,,,
30-Apr-19,"2,945.83",30-Apr-19,"2,937.14","2,948.22","2,924.11","2,945.83",-,0.10%,0%,24.11,0.82%,,,,,,,,,,,,,,,,,
29-Apr-19,"2,943.03",29-Apr-19,"2,940.58","2,949.52","2,939.35","2,943.03",-,0.11%,0%,10.17,0.35%,,,,,,,,,,,,,,,,,
26-Apr-19,"2,939.88",26-Apr-19,"2,925.81","2,939.88","2,917.56","2,939.88",-,0.47%,0%,22.32,0.76%,,,,,,,,,,,,,,,,,
25-Apr-19,"2,926.17",25-Apr-19,"2,928.99","2,933.10","2,912.84","2,926.17",-,-0.04%,0%,20.26,0.69%,,,,,,,,,,,,,,,,,
24-Apr-19,"2,927.25",24-Apr-19,"2,934.00","2,936.83","2,926.05","2,927.25",-,-0.22%,0%,10.78,0.37%,,,,,,,,,,,,,,,,,
23-Apr-19,"2,933.68",23-Apr-19,"2,909.99","2,936.31","2,908.53","2,933.68",-,0.88%,1%,27.78,0.95%,,,,,,,,,,,,,,,,,
22-Apr-19,"2,907.97",22-Apr-19,"2,898.78","2,909.51","2,896.35","2,907.97",-,0.10%,0%,13.16,0.45%,,,,,,,,,,,,,,,,,
18-Apr-19,"2,905.03",18-Apr-19,"2,904.81","2,908.40","2,891.90","2,905.03",-,0.16%,0%,16.5,0.57%,,,,,,,,,,,,,,,,,
17-Apr-19,"2,900.45",17-Apr-19,"2,916.04","2,918.00","2,895.45","2,900.45",-,-0.23%,0%,22.55,0.77%,,,,,,,,,,,,,,,,,
16-Apr-19,"2,907.06",16-Apr-19,"2,912.26","2,916.06","2,900.71","2,907.06",-,0.05%,0%,15.35,0.53%,,,,,,,,,,,,,,,,,
15-Apr-19,"2,905.58",15-Apr-19,"2,908.32","2,909.60","2,896.48","2,905.58",-,-0.06%,0%,13.12,0.45%,,,,,,,,,,,,,,,,,
12-Apr-19,"2,907.41",12-Apr-19,"2,900.86","2,910.54","2,898.37","2,907.41",-,0.66%,1%,12.17,0.42%,,,,,,,,,,,,,,,,,
11-Apr-19,"2,888.32",11-Apr-19,"2,891.92","2,893.42","2,881.99","2,888.32",-,0.00%,0%,11.43,0.40%,,,,,,,,,,,,,,,,,
10-Apr-19,"2,888.21",10-Apr-19,"2,881.37","2,889.71","2,879.13","2,888.21",-,0.35%,0%,10.58,0.37%,,,,,,,,,,,,,,,,,
9-Apr-19,"2,878.20",9-Apr-19,"2,886.58","2,886.88","2,873.33","2,878.20",-,-0.61%,1%,13.55,0.47%,,,,,,,,,,,,,,,,,
8-Apr-19,"2,895.77",8-Apr-19,"2,888.46","2,895.95","2,880.78","2,895.77",-,0.10%,0%,15.17,0.53%,,,,,,,,,,,,,,,,,
5-Apr-19,"2,892.74",5-Apr-19,"2,884.16","2,893.24","2,882.99","2,892.74",-,0.46%,0%,10.25,0.36%,,,,,,,,,,,,,,,,,
4-Apr-19,"2,879.39",4-Apr-19,"2,873.99","2,881.28","2,867.14","2,879.39",-,0.21%,0%,14.14,0.49%,,,,,,,,,,,,,,,,,
3-Apr-19,"2,873.40",3-Apr-19,"2,876.09","2,885.25","2,865.17","2,873.40",-,0.21%,0%,20.08,0.70%,,,,,,,,,,,,,,,,,
2-Apr-19,"2,867.24",2-Apr-19,"2,868.24","2,872.90","2,858.75","2,867.24",-,0.00%,0%,14.15,0.49%,,,,,,,,,,,,,,,,,
1-Apr-19,"2,867.19",1-Apr-19,"2,848.63","2,869.40","2,848.63","2,867.19",-,1.16%,1%,20.77,0.73%,,,,,,,,,,,,,,,,,
29-Mar-19,"2,834.40",29-Mar-19,"2,828.27","2,836.03","2,819.23","2,834.40",-,0.67%,1%,16.8,0.59%,,,,,,,,,,,,,,,,,
28-Mar-19,"2,815.44",28-Mar-19,"2,809.40","2,819.71","2,798.77","2,815.44",-,0.36%,0%,20.94,0.75%,,,,,,,,,,,,,,,,,
27-Mar-19,"2,805.37",27-Mar-19,"2,819.72","2,825.56","2,787.72","2,805.37",-,-0.46%,0%,37.84,1.34%,,,,,,,,,,,,,,,,,
26-Mar-19,"2,818.46",26-Mar-19,"2,812.66","2,829.87","2,803.99","2,818.46",-,0.72%,1%,25.88,0.92%,,,,,,,,,,,,,,,,,
25-Mar-19,"2,798.36",25-Mar-19,"2,796.01","2,809.79","2,785.02","2,798.36",-,-0.08%,0%,24.77,0.89%,,,,,,,,,,,,,,,,,
22-Mar-19,"2,800.71",22-Mar-19,"2,844.52","2,846.16","2,800.47","2,800.71",-,-1.90%,2%,45.69,1.61%,,,,,,,,,,,,,,,,,
21-Mar-19,"2,854.88",21-Mar-19,"2,819.72","2,860.31","2,817.38","2,854.88",-,1.09%,1%,42.93,1.52%,,,,,,,,,,,,,,,,,
