Date,Price,Date2,Open,High,Low,Price2,Vol.,Change %,Column1,valitability in ($),Daily valitability in %,,,,,,,,,,,,,,,,,
4-Feb-20,"3,297.59",4-Feb-20,"3,280.61","3,306.92","3,280.61","3,297.59",-,1.50%,2%,26.31,0.80%,,,,,,,,,,,,,,,,,
3-Feb-20,"3,248.92",3-Feb-20,"3,235.66","3,268.44","3,235.66","3,248.92",-,0.73%,1%,32.78,1.01%,,,,,,,,,,,,,,,,,
31-Jan-20,"3,225.52",31-Jan-20,"3,282.33","3,282.33","3,214.68","3,225.52",-,-1.77%,2%,67.65,2.06%,,,,,,,,,,,,,,,,,
30-Jan-20,"3,283.66",30-Jan-20,"3,256.45","3,285.91","3,242.80","3,283.66",-,0.31%,0%,43.11,1.32%,,,,,,,,,,,,,,,,,
29-Jan-20,"3,273.40",29-Jan-20,"3,289.46","3,293.47","3,271.89","3,273.40",-,-0.09%,0%,21.58,0.66%,,,,,,,,,,,,,,,,,
28-Jan-20,"3,276.24",28-Jan-20,"3,255.35","3,285.78","3,253.22","3,276.24",-,1.01%,1%,32.56,1.00%,,,,,,,,,,,,,,,,,
27-Jan-20,"3,243.63",27-Jan-20,"3,247.16","3,258.85","3,234.50","3,243.63",-,-1.57%,2%,24.35,0.75%,,,,,,,,,,,,,,,,,
24-Jan-20,"3,295.47",24-Jan-20,"3,333.10","3,333.18","3,281.53","3,295.47",-,-0.90%,1%,51.65,1.55%,,,,,,,,,,,,,,,,,
23-Jan-20,"3,325.54",23-Jan-20,"3,315.77","3,326.88","3,301.87","3,325.54",-,0.11%,0%,25.01,0.75%,,,,,,,,,,,,,,,,,
22-Jan-20,"3,321.75",22-Jan-20,"3,330.02","3,337.77","3,320.04","3,321.75",-,0.03%,0%,17.73,0.53%,,,,,,,,,,,,,,,,,
21-Jan-20,"3,320.79",21-Jan-20,"3,321.03","3,329.79","3,316.61","3,320.79",-,-0.27%,0%,13.18,0.40%,,,,,,,,,,,,,,,,,
17-Jan-20,"3,329.62",17-Jan-20,"3,323.66","3,329.88","3,318.86","3,329.62",-,0.39%,0%,11.02,0.33%,,,,,,,,,,,,,,,,,
16-Jan-20,"3,316.81",16-Jan-20,"3,302.97","3,317.11","3,302.82","3,316.81",-,0.84%,1%,14.29,0.43%,,,,,,,,,,,,,,,,,
15-Jan-20,"3,289.29",15-Jan-20,"3,282.27","3,298.66","3,280.69","3,289.29",-,0.19%,0%,17.97,0.55%,,,,,,,,,,,,,,,,,
14-Jan-20,"3,283.15",14-Jan-20,"3,285.35","3,294.25","3,277.19","3,283.15",-,-0.15%,0%,17.06,0.52%,,,,,,,,,,,,,,,,,
13-Jan-20,"3,288.13",13-Jan-20,"3,271.13","3,288.13","3,268.43","3,288.13",-,0.70%,1%,19.7,0.60%,,,,,,,,,,,,,,,,,
10-Jan-20,"3,265.35",10-Jan-20,"3,281.81","3,282.99","3,260.86","3,265.35",-,-0.29%,0%,22.13,0.67%,,,,,,,,,,,,,,,,,
9-Jan-20,"3,274.70",9-Jan-20,"3,266.03","3,275.58","3,263.67","3,274.70",-,0.67%,1%,11.91,0.36%,,,,,,,,,,,,,,,,,
